title,description,identifier,isPartOf
Allegheny County Voting District Boundaries,"<div>This dataset demarcates municipal voting districts in Allegheny County. These were updated in 2019 to match municipal boundaries.</div><div><div>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Civic Vitality and Governance</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Elections Division; Department of Administrative
Services</p>

<p><b>Temporal
Coverage:  </b>2016<b></b></p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  Allegheny County Elections Districts updated in 2019 to match municipal boundaries.</p>

<p>Other: 
none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (https://docs.google.com/spreadsheets/d/1HR24LyBNpLwvJZoaGp-tBGRw0HRoXNIef6nU4UQQMMo/edit?usp=sharing)</p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<b>Data
Steward Email:</b> gishelp@alleghenycounty.us</div></div>",df953315-6b4d-47e6-9502-d5a6af83d993,
Allegheny County Polling Place Locations (May 2018),"This dataset contains locations of the polling places in Allegheny County.<div>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Civic Vitality and Governance</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Elections Division; Department of Administrative
Services</p>

<p><b>Temporal
Coverage: </b> May 2018</p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  none</p>

<p>Other: 
none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (none)</p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<b>Data
Steward Email:</b> gishelp@alleghenycounty.us</div>",32b64788-05c5-4752-b361-f1e7ef29523d,
Allegheny County Polling Place Locations (November 2018),"This dataset contains locations of the polling places in Allegheny County.<div>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Civic Vitality and Governance</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Elections Division; Department of Administrative
Services</p>

<p><b>Temporal
Coverage: </b> November 2018</p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  none</p>

<p>Other: 
none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (none)</p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<b>Data
Steward Email:</b> gishelp@alleghenycounty.us</div>",d880c214-2d51-452f-8636-2856da2e6f2d,
Allegheny County School Buildings Locations April 2018 (Webmap),"<p>This data set shows public,private and charter school buildings and licensed educational entities located
within Allegheny County.</p>

<p>The underlying data is downloaded from Pennsylvania Department of Education site.For more information please visit the following web link:</p><p>http://www.edna.ed.state.pa.us/Screens/Extracts/wfExtracts.aspx<br /></p><p>The school location variable is used as an input to address from public and private school files.</p>

<p>If
viewing this description on the Western Pennsylvania Regional Data Center’s
open data portal (<a href=""http://www.wprdc.org/"">http://www.wprdc.org</a>), this
dataset is an extract from Pennsylvania Department of Education website as of April,2018. The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p>Category: 
Education and Human and Social Services</p>

<p>Organization:  Allegheny
County</p>

<p>Department: 
Department of Human Services</p>

<p>Temporal
Coverage:  20th April, 2018</p>

<p>Data
Notes: </p>

<p>Coordinate
System:  Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development
Notes:  none</p>

<p>Other:
none</p>

<p>Frequency
- Data Change:  As needed</p>

<p>Frequency
- Publishing:  As needed</p>

<p>Data
Steward Name:  Sumiya Tarannum</p>

<p>Data
Steward Email: <a href=""mailto:Sumiya.tarannum@alleghenycounty.us"">Sumiya.tarannum@alleghenycounty.us</a></p>",b43ce74f-ec70-4235-9c2d-704c3ebbe806,
Allegheny County Address Points,"<p>This dataset shows the address points in Allegheny County.</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org/"">http://www.wprdc.org</a>),
this dataset is harvested on a weekly basis from Allegheny County’s GIS data
portal (<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>).
The full metadata record for this dataset can also be found on Allegheny
County’s GIS portal. You can access the metadata record and other resources on
the GIS portal by clicking on the “Explore” button (and choosing the “Go to
resource” option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Civic Vitality and Governance</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Department of Computer Services</p>

<p><b>Temporal
Coverage:  </b>2017</p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  none</p>

<p>Other: none</p>

<p><b>Related
Document(s):</b>  Data
Dictionary </p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Deb Beiber</p>

<p><b>Data
Steward Email:</b> gishelp@alleghenycounty.us</p>",4637c3bf-4bc6-499b-b009-8e05272c6108,
Allegheny County Addressing Landmarks,"<p>This dataset shows the address points in Allegheny County.</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org/"">http://www.wprdc.org</a>),
this dataset is harvested on a weekly basis from Allegheny County’s GIS data
portal (<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>).
The full metadata record for this dataset can also be found on Allegheny
County’s GIS portal. You can access the metadata record and other resources on
the GIS portal by clicking on the “Explore” button (and choosing the “Go to
resource” option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Civic Vitality and Governance</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Department of Computer Services</p>

<p><b>Temporal
Coverage:  </b>2017</p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  none</p>

<p>Other: none</p>

<p><b>Related
Document(s):</b>  Data
Dictionary </p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Deb Beiber</p>

<p><b>Data
Steward Email:</b> gishelp@alleghenycounty.us</p>",31b3880a-8d97-4ce0-88f0-f7e2919d2701,
Pittsburgh Police Zones,Pittsburgh Police Zones<div><br /></div><div><div>Metadata: https://www.arcgis.com/sharing/rest/content/items/7e95f0914283472e83e8000c0af33110/info/metadata/metadata.xml?format=default&amp;output=html</div></div><div><br /></div>,a3324095-06d8-4b7b-9fed-205bc2064ccb,
25 Percent Slope Areas in Pittsburgh,25% Slope Area Pittsburgh,89ff55a3-632a-4846-b5b4-e6e30ec093a1,
Pittsburgh Emergency Medical System (EMS) Districts,Pittsburgh Emergency Medical Service Districts<div><br /></div><div><div>Metadata: https://www.arcgis.com/sharing/rest/content/items/e0c617ba041645ffaee67cace8a7a549/info/metadata/metadata.xml?format=default&amp;output=html</div></div><div><br /></div>,14a16b27-13ff-45cc-b616-211f2e83c89a,
Pittsburgh URA Main St. Program Boundaries,Pittsburgh Urban Redevelopment Authority Main St Program Boundaries<div><br /></div><div>Metadata: https://www.arcgis.com/sharing/rest/content/items/ab9b192ab4ba46d88144bacf5a0252e0/info/metadata/metadata.xml?format=default&amp;output=html</div>,797ac243-bc29-4f40-81ff-c17816563419,
Pittsburgh Individual Historic Properties,Pittsburgh Individual Historic Properties<div><br /></div><div>Metadata: https://www.arcgis.com/sharing/rest/content/items/9a3c2c43d39443e7a21070e13e66f422/info/metadata/metadata.xml?format=default&amp;output=html</div>,2f1dc083-7c02-4a5b-895f-ec9a4586cad8,
Pittsburgh Historic Districts,Pittsburgh Historic Districts<div><br /></div><div>Metadata: https://www.arcgis.com/sharing/rest/content/items/71df883dcf184292b69d5721df39b5dd/info/metadata/metadata.xml?format=default&amp;output=html</div>,2e9b0910-560f-4cb8-baed-4501de8a01e7,
Pittsburgh Uptown IPOD Zoning District,Uptown IPOD Zoning District<div><br /></div><div><div>Metadata: https://www.arcgis.com/sharing/rest/content/items/5424b636afb1463f92a479f26186822e/info/metadata/metadata.xml?format=default&amp;output=html</div></div><div><br /></div><div><br /></div>,f03904ad-866f-4b02-a155-b3fe0776c0d0,
Allegheny County Blazed Trails Locations (public),"<div><div><p>Shows
 the location of blazed trails in all Allegheny County parks. This is 
the same data used in the Allegheny County Parks Trails Mobile App, 
available for Apple and Android devices.<br /></p>



<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Recreation</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Parks Department</p>

<p><b>Temporal
Coverage:  </b>present</p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  none </p>

<p>Other: none</p>

<p><b>Related
Document(s):</b>  Data
Dictionary: none </p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<p><b>Data
Steward Email:</b> gishelp@alleghenycounty.us</p></div></div>",6d56f971-4986-41e9-89ff-d41d7d1d6bbd,
Allegheny County Voting District Boundaries (Spring 2015 - Spring 2016),"<p>This dataset demarcates municipal voting districts in Allegheny County.</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Civic Vitality and Governance</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Elections Division; Department of Administrative
Services</p>

<p><b>Temporal
Coverage:  </b>2015<b></b></p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>



<p>Other: 
none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (https://docs.google.com/spreadsheets/d/1HR24LyBNpLwvJZoaGp-tBGRw0HRoXNIef6nU4UQQMMo/edit?usp=sharing)</p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<b>Data
Steward Email:</b> gishelp@alleghenycounty.us",56d5158c-b0ce-49d7-89e7-1bb97ad3fdf4,
Allegheny County Polling Place Locations (May 2017),"<br /><div><p><br />This dataset contains locations of the polling places in Allegheny County.</p><p>If viewing this description on the Western Pennsylvania Regional Data Center’s open data portal (<a href=""http://www.wprdc.org/"">http://www.wprdc.org</a>), this dataset is harvested on a weekly basis from Allegheny County’s GIS data portal (<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The full metadata record for this dataset can also be found on Allegheny County’s GIS portal. You can access the metadata record and other resources on the GIS portal by clicking on the “Explore” button (and choosing the “Go to resource” option) to the right of the “ArcGIS Open Dataset” text below.</p><p>Category:  Civic Vitality and Governance</p><p>Organization:  Allegheny County</p><p>Department:  Elections Divison; Department of Administrative Services</p><p>Temporal Coverage:  2017</p><p>Data Notes: </p><p>Coordinate System:  Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p><p>Development Notes:  none</p><p>Other:  none</p><p>Related Document(s):  Data Dictionary (none)</p><p>Frequency - Data Change:  As needed</p><p>Frequency - Publishing:  As needed</p><p>Data Steward Name:  Eli Thomas</p><p>Data Steward Email: gishelp@alleghenycounty.us</p></div>",ba4fadd2-b345-44bf-bcbc-2ebdb08f6480,
Allegheny County Voting District Boundaries (Spring 2017 - present),"<p>This dataset demarcates municipal voting districts in Allegheny County.</p><p>If viewing this description on the Western Pennsylvania Regional Data Center’s open data portal (<a href=""http://www.wprdc.org/"">http://www.wprdc.org</a>), this dataset is harvested on a weekly basis from Allegheny County’s GIS data portal (<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The full metadata record for this dataset can also be found on Allegheny County’s GIS portal. You can access the metadata record and other resources on the GIS portal by clicking on the “Explore” button (and choosing the “Go to resource” option) to the right of the “ArcGIS Open Dataset” text below.</p><p>Category:  Civic Vitality and Governance</p><p>Organization:  Allegheny County</p><p>Department:  Elections Division; Department of Administrative Services</p><p>Temporal Coverage:  2016</p><p>Data Notes: </p><p>Coordinate System:  Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p><p>Development Notes:  Collier and South Park were redistricted.<br /></p><p>Other:  none</p><p>Related Document(s):  Data Dictionary (https://docs.google.com/spreadsheets/d/1HR24LyBNpLwvJZoaGp-tBGRw0HRoXNIef6nU4UQQMMo/edit?usp=sharing)</p><p>Frequency - Data Change:  As needed</p><p>Frequency - Publishing:  As needed</p><p>Data Steward Name:  Eli Thomas</p>Data Steward Email: gishelp@alleghenycounty.us",f0d536ce-2936-46ba-8c26-abab2c3329e9,
Allegheny County Polling Place Locations (November 2016),"<div><div><p>This dataset contains locations of the polling places in Allegheny County.</p><p>If viewing this description on the Western Pennsylvania Regional Data Center’s open data portal (<a href=""http://www.wprdc.org/"">http://www.wprdc.org</a>), this dataset is harvested on a weekly basis from Allegheny County’s GIS data portal (<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>).
 The full metadata record for this dataset can also be found on 
Allegheny County’s GIS portal. You can access the metadata record and 
other resources on the GIS portal by clicking on the “Explore” button 
(and choosing the “Go to resource” option) to the right of the “ArcGIS 
Open Dataset” text below.</p><p><b>Category:</b>  Civic Vitality and Governance</p><p><b>Organization:</b>  Allegheny County</p><p><b>Department:</b>  Elections Division; Department of Administrative Services</p><p><b>Temporal Coverage:  </b>2016</p><p><b>Data Notes:  </b></p><p>Coordinate System:  Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p><p>Development Notes:  none</p><p>Other:  none</p><p><b>Related Document(s):</b>  Data Dictionary (none)</p><p><b>Frequency - Data Change:</b>  As needed</p><p><b>Frequency - Publishing:</b>  As needed</p><p><b>Data Steward Name:</b>  Eli Thomas</p><p><b>Data Steward Email:</b> gishelp@alleghenycounty.us</p></div></div>",662fc744-6fee-4f70-9256-d7cbf211a6f3,
Allegheny County Voting District Boundaries (Fall 2016 - Spring 2017),"<div><p>This dataset demarcates municipal voting districts in Allegheny County.</p>

<p>If viewing this description on the Western Pennsylvania
Regional Data Center’s open data portal (<a href=""http://www.wprdc.org"">http://www.wprdc.org</a>), this
dataset is harvested on a weekly basis from Allegheny County’s GIS data portal
(<a href=""http://openac.alcogis.opendata.arcgis.com/"">http://openac.alcogis.opendata.arcgis.com/</a>). The
full metadata record for this dataset can also be found on Allegheny County’s
GIS portal. You can access the metadata record and other resources on the GIS
portal by clicking on the “Explore” button (and choosing the “Go to resource”
option) to the right of the “ArcGIS Open Dataset” text below.</p>

<p><b>Category:</b>  Civic Vitality and Governance</p>

<p><b>Organization:</b>  Allegheny County</p>

<p><b>Department:</b>  Elections Division; Department of Administrative
Services</p>

<p><b>Temporal
Coverage:  </b>2016<b></b></p>

<p><b>Data
Notes:  </b></p>

<p>Coordinate System: 
Pennsylvania State Plane South Zone 3702; U.S. Survey Foot</p>

<p>Development Notes:  Collier and South Park were redistricted.<br /></p>

<p>Other: 
none<b></b></p>

<p><b>Related
Document(s):</b>  Data
Dictionary (https://docs.google.com/spreadsheets/d/1HR24LyBNpLwvJZoaGp-tBGRw0HRoXNIef6nU4UQQMMo/edit?usp=sharing)</p>

<p><b>Frequency
- Data Change:</b>  As needed</p>

<p><b>Frequency
- Publishing:</b>  As needed</p>

<p><b>Data
Steward Name:</b>  Eli Thomas</p>

<b>Data
Steward Email:</b> gishelp@alleghenycounty.us</div>",298c8c94-b5ad-4ee6-bae1-767f86225702,
PGHODFireZones,"PGH Open Data Fire Zones: This dataset has been deprecated in favor of a newer version that is currently being kept updated:

https://data.wprdc.org/dataset/pittsburgh-fire-zones",0f266e07-48f9-4149-9413-82e6d16d565e,
City Traffic Signs,"City of Pittsburgh Traffic signs such as; Stop, Stop Ahead, and Yield Signs, and Wayfinder signs.

This is an on-going inventory of Signs, as the Department of Public Works is able to update its inventory new sign types will be added.",c35e3717-ea01-42d2-ad52-2814dbd74cac,
City of Pittsburgh Steps,A listing of all steps and stairways in the City of Pittsburgh,e9aa627c-cb22-4ba4-9961-56d9620a46af,
City of Pittsburgh Playgrounds,City of Pittsburgh playgrounds.,37e7a776-c98b-4e08-ad61-a8c8e23ec9ab,
City of Pittsburgh Courts and Rinks,Courts and rinks maintained by the City of Pittsburgh's Department of Public Works.,8da92664-22a4-42b8-adae-1950048d70aa,
City of Pittsburgh Water Features,"Water fountains, spray fountains and other assets which provide water for public use.",fe7cfb11-9f33-4590-a5ee-04419f3f974a,
City of Pittsburgh Signalized Intersections,Signalized intersections operated and maintained by the City of Pittsburgh's Department of Public Works,f470a3d5-f5cb-4209-93a6-c974f7d5a0a4,
City of Pittsburgh Playing Fields,City of Pittsburgh playing fields.,87c77ec3-db98-4b2a-8891-d9b577b4c44d,
City of Pittsburgh Retaining Walls,City of Pittsburgh Retaining Walls,5e77546c-f1e1-432a-b556-9ccf29db9b2c,
Waste Recovery Locations,Locations where City residents are encouraged to drop off and dispose or recycle of unwanted materials. Information provided is subject to change. Please call ahead to confirm hours and that your specific item is still currently accepted. Non-City owned/operated locations listed are not an endorsement by the City of Pittsburgh.,10dd50cf-bf29-4268-83e2-debcacea7885,
City of Pittsburgh Bridges,Bridges in the city of Pittsburgh.,d6e6c012-45f0-4e13-ab3b-9458fd56ad96,
City of Pittsburgh Intersection Markings,Intersection markings including crosswalk and stop line locations and information.,31ce085b-87b9-4ffd-adbb-0a9f5b3cf3df,
Paving Schedule,City of Pittsburgh street paving schedule.,6d872b14-c9bb-4627-a475-de6a72050cb0,
Capital Projects,City of Pittsburgh Capital Projects Budgets,b0bfd969-d300-4117-8c85-fc9907a501dc,
City of Pittsburgh Pools,City of Pittsburgh pools and spray parks.,f7067c4e-0c1e-420c-8c31-f62769fcd29a,
City of Pittsburgh Facilities,City Facility data pulled from the Operations Management System for the Department of Public Works,e33e12d9-1268-45ed-ae47-ae3a76dcc0aa,
Playground Equipment,"A listing of all playground equipment maintained by the city, including a description, the manufacturer, included safety surface and whether or not it is ADA accessible.",4b9c5947-5645-4dbc-a7b6-eb323418fe02,
City Designated Individual Historic Sites,Pittsburgh City Historic District Individual Properties,11254ef0-8d6a-4934-a1f6-8daeb020e701,
Pittsburgh Bridges,Pittsburgh Bridges<div><br /></div><div>Metadata: https://www.arcgis.com/sharing/rest/content/items/60b25e95c256460592304758b59de19c/info/metadata/metadata.xml?format=default&amp;output=html</div>,992a4163-763d-42c7-a8de-62eec3a0c421,
Pittsburgh City Trees,Pittsburgh City Tree Inventory<div><br /></div><div><div>Metadata: https://www.arcgis.com/sharing/rest/content/items/7a2566de73cd4d23b41ef96d4ae528d3/info/metadata/metadata.xml?format=default&amp;output=html</div></div><div><br /></div>,6e013b7e-ad10-425e-baa7-dc64e7096530,
Pittsburgh DPW Environmental Services Divisions,Pittsburgh  Public Work Environmental Service Divisions<div><br /></div><div><div>Metadata: https://www.arcgis.com/sharing/rest/content/items/8f9caf7f57bc4e54b0ed4a25b3366f29/info/metadata/metadata.xml?format=default&amp;output=html</div></div><div><br /></div>,0a8f2042-9b25-4f1c-80f5-22700f9bcb28,
Neighborhoods with SNAP Data,Pittsburgh Neighborhoods,88310faf-179d-4ba2-a8a8-8233ec588a80,
Ballfields PGH,Pittsburgh Ballfields,4ea4946c-4953-470d-b326-906458a1b480,
Pittsburgh Parking Authority Meter Areas,PPA Meter Areas,a9d04d48-ac02-40a6-89e1-278470083334,
Parking Meters Pittsburgh Parking Authority,Parking Meters,ec727ff6-10c6-48ca-8fd1-9185f8504e24,
Pittsburgh 2014 CDBG Census Tracts,2014 PGH CDBG Areas<div><br /></div><div><div>Metadata: https://www.arcgis.com/sharing/rest/content/items/6f8ecf3a84944582b29e5b215f30e3b0/info/metadata/metadata.xml?format=default&amp;output=html</div></div><div><br /></div>,3c96e262-e5f3-4f2f-87bf-aee882a5e13a,
Pittsburgh Beautify The Burgh,Beautify The Burgh<div><br /></div><div><div>Metadata: https://www.arcgis.com/sharing/rest/content/items/bcd39ed918714385ac1c135b3e122582/info/metadata/metadata.xml?format=default&amp;output=html</div></div><div><br /></div>,6620bf32-f9dd-40a5-aa36-a4f632f89f36,
Pittsburgh Parks,Pittsburgh PA Parks,d4421efb-2d46-4d4e-a605-bba0d02c4c0c,
Pittsburgh City Boundary,Pittsburgh City Boundary <div><br /></div><div><div>Metadata: https://www.arcgis.com/sharing/rest/content/items/a99f25fffb7b41c8a4adf9ea676a3a0b/info/metadata/metadata.xml?format=default&amp;output=html</div></div><div><br /></div>,8dbdf8af-ef4f-47ec-9245-b2d2a5464a03,
Pittsburgh 2014 CDBG Block Groups,2014 PGH CDBG Areas Block Groups<div><br /></div><div><div>Metadata: https://www.arcgis.com/sharing/rest/content/items/a1696bd0aa8648249a94e9a56a1d56f8/info/metadata/metadata.xml?format=default&amp;output=html</div></div><div><br /></div>,3a4c91a8-c60c-4ca6-a300-6e2e391adc2c,
Pittsburgh Undermined Areas,Pittsburgh City  Undermined Areas<div><br /></div><div><div>Metadata: https://www.arcgis.com/sharing/rest/content/items/a065e686e9144110ac6ccfe7bb43fd98/info/metadata/metadata.xml?format=default&amp;output=html</div></div><div><br /></div>,50c99c3a-a460-43cf-98b2-fab21e93a1ff,
Pittsburgh City Facilities,"Pittsburgh City Facilities<div>Includes: City Administrative Buildings, Police Stations, Fire Stations, EMS Stations, DPW Sites, Senior Centers, Recreation Centers, Pool Locations, Ballfields,  Libraries,  Park Play Areas, Tennis Courts, and Utility Buildings</div><div><br /></div><div><div>Metadata: https://www.arcgis.com/sharing/rest/content/items/b9c387d024944503ad27549e196d7260/info/metadata/metadata.xml?format=default&amp;output=html</div><div><br /></div></div>",f9214df4-f487-4733-9476-f4e08789a37c,
Pittsburgh Landslide Prone,Pittsburgh  Landslide Prone Areas<div><br /></div><div><div>Metadata: https://www.arcgis.com/sharing/rest/content/items/c5b8bed5963746d4844dcfea7c2053e7/info/metadata/metadata.xml?format=default&amp;output=html</div></div><div><br /></div>,1a894578-0902-4b9a-bf1a-93f339982d02,
Pittsburgh Traffic Signals,City of Pittsburgh Traffic Signals<div><br /></div><div>Metadata: https://www.arcgis.com/sharing/rest/content/items/d7113fcd9cea485098f94530be1095a7/info/metadata/metadata.xml?format=default&amp;output=html<br /></div>,3736f1b5-43e5-46aa-97a0-8d8d179c05d5,
PGHODSteps,There is no description available.,afcd82ae-baa3-4fa9-8ac3-6509a3393501,
Pittsburgh City Council Districts 2012,PGH Open City Council Districts,c310d2fb-0ef5-4ff3-807d-40d1d79cd8ca,
Pittsburgh Fire Zones,PGH Open Data Fire Zones,fb3dcbf1-c6db-4fe5-8afc-28d81a8d70fe,
Pittsburgh Wards,"Pittsburgh, PA - Voting Ward Areas",bc4f3e8b-2efb-4b21-99c9-eac46e78ad48,
Pittsburgh Greenways,PGH Open Data Greenways,0702a56c-b9f9-46b6-a4ba-3858b6d2e30e,
25% or Greater Slope,Pittsburgh 25% Slope of Greater,084d814b-5150-4b5e-b888-15fb3bfaa0b1,
Baum Center Zoning Overlay,Pittsburgh Baum Centre Zoning Overlay,7699b899-6e01-44cd-841a-7962cd43311c,
2010 Census Block Groups,Pittsburgh 2010 Census Blockgroups,2b8d278c-696f-48f1-b200-6ee326d5548d,
City Designated Historic Districts,Pittsburgh City Designated Historic Districts,7e548dbc-1934-453a-9ce9-9e0d5e7c7c06,
2010 Census Tracts,Pittsburgh 2010 Census Tracts,9d0a7e1a-f2dd-40bb-bc07-625d10786c05,
City Council Districts 2012,Pittsburgh City Council Districts,43d25509-68a5-474a-aea1-4f909a4adb98,
Department of Public Works Street Divisions,Pittsburgh Department of Public Works Administrative Divisions,09396b53-3a20-493f-92e4-fe67539ee38c,
Fire Districts,Pittsburgh Fire Districts,9b537f69-93d0-4c96-a9fe-d48bcd946598,
2014 FEMA Flood Zones,This is an extract from the Official FEMA Data.  For any question about this data go here https://www.fema.gov/faq-details/GIS-Data.,a5b2d756-40d7-4fcd-95e9-d32e168ade53,
Landslide Prone Areas,Pittsburgh Landslide Prone Areas,91cccd9b-34c9-4b72-86d2-a9f742b62ede,
Neighborhoods,Pittsburgh Neighborhoods,700acc38-7a1c-4f50-a52b-4901448f3983,
North Side Commercial Parking Zoning Overlay,Pittsburgh North Side Commercial Parking Overlay,75499131-7cb4-46a2-bc16-1cc2bc16d9d6,
Parking Reduction Zoning Overlay,Pittsburgh Parking Reduction Zoning Overlay,a7186d0e-32ec-4efe-9908-af50fbeaf796,
Parks,Pittsburgh Parks,410df341-8cea-4a85-9be8-6872436a41e1,
